File Format, WaveformXYValues
Format Version, 1
Instrument, N1045A,04F,LOJ
SwVersion, A.06.71.21
SerialNumber, MY56260108
Date, 11/19/2023 02:28:33 GMT+08:00

Source Name, Channel 1A

Points, 2048
Signal Type, Unspecified
Channel Bandwidth, 2E+10
Channel Noise, 6.66857143682292E-05
X Units, Second
Y Units, Volt
Data, 
1.73636E-07, -0.000299841492369562
1.73637953125E-07, -0.000475110188036392
1.7363990625E-07, -0.000197634854250785
1.73641859375E-07, -0.000664640958841314
1.736438125E-07, -0.000530189317757598
1.73645765625E-07, -0.00063198451814966
1.7364771875E-07, -0.000720825773193947
1.73649671875E-07, -0.000513752663522848
1.73651625E-07, -0.000642190064312452
1.73653578125E-07, -0.000574122722560189
1.7365553125E-07, -0.000575315340286465
1.73657484375E-07, -0.000986356938878851
1.736594375E-07, -0.00046307557256376
1.73661390625E-07, -0.000514405323387434
1.7366334375E-07, -0.000643102817723172
1.73665296875E-07, -0.000463645597973317
1.7366725E-07, -0.000368299528405563
1.73669203125E-07, -0.000809617165699916
1.7367115625E-07, -0.00060438841138991
1.73673109375E-07, -0.00042651146100078
1.736750625E-07, -0.00095765481386706
1.73677015625E-07, -0.000857268595353131
1.7367896875E-07, -0.000854097185834208
1.73680921875E-07, -0.000629948934352269
1.73682875E-07, -0.00074484514305945
1.73684828125E-07, -0.000484505769417591
1.7368678125E-07, -0.000750567371441647
1.73688734375E-07, -0.000715977632599739
1.736906875E-07, -0.000776959146620428
1.73692640625E-07, -0.000924545824578004
1.7369459375E-07, -0.000280452711682279
1.73696546875E-07, -0.00113152046163647
1.736985E-07, -0.000616409536056108
1.73700453125E-07, -0.000692834528103718
1.7370240625E-07, -0.000391137872621524
1.73704359375E-07, -0.000461200557253763
1.737063125E-07, -0.000828950882849012
1.73708265625E-07, -0.000821462448513503
1.7371021875E-07, -0.000879614941485281
1.73712171875E-07, -0.0010551673988503
1.73714125E-07, -0.000938669220067264
1.73716078125E-07, -0.000917344694344834
1.7371803125E-07, -0.000619265745085171
1.73719984375E-07, -0.000905446947073975
1.737219375E-07, -0.00135903847148556
1.73723890625E-07, -0.000671835152707979
1.7372584375E-07, -0.000920514243309374
1.73727796875E-07, -0.00123060116510837
1.7372975E-07, -0.00160218707436845
1.73731703125E-07, -0.00108779743542865
1.7373365625E-07, -0.000537297253736198
1.73735609375E-07, -0.00101487275264904
1.737375625E-07, -0.00116192291675767
1.73739515625E-07, -0.00143678898339791
1.7374146875E-07, -0.00141139004234017
1.73743421875E-07, -0.00159694524612771
1.73745375E-07, -0.00127350173854005
1.73747328125E-07, -0.00169688963720939
1.7374928125E-07, -0.00155859348082442
1.73751234375E-07, -0.00149587828719152
1.737531875E-07, -0.00181040611967617
1.73755140625E-07, -0.00135216164970002
1.7375709375E-07, -0.00181825356715213
1.73759046875E-07, -0.00118054301539586
1.73761E-07, -0.00182010390111845
1.73762953125E-07, -0.00163962054772869
1.7376490625E-07, -0.00142261207419179
1.73766859375E-07, -0.00240883002182871
1.737688125E-07, -0.00171973615574412
1.73770765625E-07, -0.00203114817879318
1.7377271875E-07, -0.00174470854641979
1.73774671875E-07, -0.00218855220740621
1.73776625E-07, -0.00214689616735072
1.73778578125E-07, -0.00201743415004542
1.7378053125E-07, -0.00253674741264885
1.73782484375E-07, -0.00271625054804066
1.737844375E-07, -0.00259691159043837
1.73786390625E-07, -0.00194256999756174
1.7378834375E-07, -0.00238165460366161
1.73790296875E-07, -0.00250838184796605
1.7379225E-07, -0.00271525903777828
1.73794203125E-07, -0.00269305630647762
1.7379615625E-07, -0.00242563483182551
1.73798109375E-07, -0.00295972183165292
1.738000625E-07, -0.00281536198071159
1.73802015625E-07, -0.00355201322367729
1.7380396875E-07, -0.00284420384669565
1.73805921875E-07, -0.00352112628252878
1.73807875E-07, -0.00305025250197059
1.73809828125E-07, -0.00306572258848683
1.7381178125E-07, -0.00359200443802242
1.73813734375E-07, -0.00278788136163564
1.738156875E-07, -0.00346199254012144
1.73817640625E-07, -0.00312804805809974
1.7381959375E-07, -0.00344575953874629
